"SAMPID","SMTSD"
"GTEX-11DZ1-2926-SM-5A5KI","Brain - Cerebellum"
"GTEX-11EMC-0011-R10a-SM-DNZZJ","Brain - Frontal Cortex (BA9)"
"GTEX-11NV4-2226-SM-5BC4T","Brain - Cerebellum"
"GTEX-11TTK-2826-SM-5GU5K","Brain - Cerebellum"
"GTEX-11ZTS-0011-R10a-SM-DO93S","Brain - Frontal Cortex (BA9)"
"GTEX-11ZVC-3026-SM-59HJM","Brain - Cerebellum"
"GTEX-12126-0011-R10b-SM-5BC6T","Brain - Frontal Cortex (BA9)"
"GTEX-12WSA-0011-R10b-SM-5P9ET","Brain - Frontal Cortex (BA9)"
"GTEX-12WSH-3126-SM-5LZW8","Brain - Cerebellum"
"GTEX-131XH-2926-SM-5LZU4","Brain - Cerebellum"
"GTEX-1399T-3126-SM-5IJFS","Brain - Cerebellum"
"GTEX-139TS-3126-SM-5LZWX","Brain - Cerebellum"
"GTEX-13FHO-2926-SM-5L3ES","Brain - Cerebellum"
"GTEX-13OVJ-0011-R10b-SM-5L3HT","Brain - Frontal Cortex (BA9)"
"GTEX-13OVL-3026-SM-5IJF1","Brain - Cerebellum"
"GTEX-13OW7-0011-R10a-SM-5L3H3","Brain - Frontal Cortex (BA9)"
"GTEX-13X6J-2926-SM-7EPGP","Brain - Cerebellum"
"GTEX-144GL-2926-SM-5O99F","Brain - Cerebellum"
"GTEX-145MF-2826-SM-7EPGU","Brain - Cerebellum"
"GTEX-145MG-0011-R10a-SM-5PNWG","Brain - Frontal Cortex (BA9)"
"GTEX-145MG-3126-SM-5Q5D3","Brain - Cerebellum"
"GTEX-145MH-2926-SM-5Q5D2","Brain - Cerebellum"
"GTEX-14JFF-2826-SM-6871Q","Brain - Cerebellum"
"GTEX-14JG1-2926-SM-686ZK","Brain - Cerebellum"
"GTEX-14JIY-2326-SM-6AJAJ","Brain - Cerebellum"
"GTEX-15ER7-3026-SM-6M47W","Brain - Cerebellum"
"GTEX-15G19-0011-R10b-SM-7KUG4","Brain - Frontal Cortex (BA9)"
"GTEX-15UF6-0011-R10b-SM-9OSVF","Brain - Frontal Cortex (BA9)"
"GTEX-1EWIQ-3026-SM-7IGOJ","Brain - Cerebellum"
"GTEX-1F6IF-3026-SM-7P8QN","Brain - Cerebellum"
"GTEX-1GF9V-0011-R10b-SM-CKZNP","Brain - Frontal Cortex (BA9)"
"GTEX-1GZ2Q-0011-R10b-SM-CE6RN","Brain - Frontal Cortex (BA9)"
"GTEX-1GZ2Q-3026-SM-9JGG3","Brain - Cerebellum"
"GTEX-1GZ4I-0011-R10a-SM-9OSX3","Brain - Frontal Cortex (BA9)"
"GTEX-1HBPH-3026-SM-9WPNY","Brain - Cerebellum"
"GTEX-1JJEA-2926-SM-C1YSK","Brain - Cerebellum"
"GTEX-1MJK2-3026-SM-EV7A5","Brain - Cerebellum"
"GTEX-NPJ7-2826-SM-2I3FU","Brain - Cerebellum"
"GTEX-P44H-0011-R10A-SM-2XCEK","Brain - Frontal Cortex (BA9)"
"GTEX-PVOW-0011-R10A-SM-EXOHB","Brain - Frontal Cortex (BA9)"
"GTEX-PWO3-1026-SM-2I5F2","Brain - Cerebellum"
"GTEX-T2IS-2926-SM-32QPO","Brain - Cerebellum"
"GTEX-T5JC-0011-R10A-SM-32PM2","Brain - Frontal Cortex (BA9)"
"GTEX-UTHO-2926-SM-3P5Z9","Brain - Cerebellum"
"GTEX-WZTO-0011-R10B-SM-4E3KB","Brain - Frontal Cortex (BA9)"
"GTEX-X4EP-0011-R10B-SM-4QASJ","Brain - Frontal Cortex (BA9)"
"GTEX-ZDXO-2926-SM-4WKFM","Brain - Cerebellum"
"GTEX-ZUA1-2926-SM-59HL3","Brain - Cerebellum"
"GTEX-ZYY3-3026-SM-5GIEJ","Brain - Cerebellum"
"GTEX-ZZPT-2926-SM-5EQ5S","Brain - Cerebellum"
